1,1
2,7
3,2
4,6
5,5
6,3
7,5
8,4
9,8
10,9
11,7
12,3
13,9
14,6
15,2
16,8
17,5
18,1
19,4
20,8
21,9
22,1
23,7
24,3
25,5
26,4
27,6
28,2
29,5
30,2
31,2
32,4
33,1
34,3
35,7
36,6
37,5
38,8
39,1
40,3
41,7
42,5
43,6
44,4
45,2
46,8
47,9
48,2
49,4
50,3
51,8
52,1
53,7
54,5
55,9
56,6
57,2
58,1
59,2
60,1
61,2
62,7
63,5
64,7
65,9
66,3
67,4
68,8
69,9
70,6
71,8
72,4
73,6
74,3
75,1
76,9
77,1
78,3
79,7
80,2
81,8
82,5
83,9
84,1
85,4
86,3
87,7
88,2
89,4
90,8
91,6
92,5
93,6
94,3
95,8
96,2
97,9
98,6
99,4
100,1
101,7
102,5
103,7
104,1
105,8
106,5
107,2
108,9
109,4
110,3
111,6
112,4
113,3
114,5
115,7
116,8
117,2
118,9
119,1
120,6
121,3
122,8
123,6
124,7
125,9
126,2
127,1
128,5
129,4
130,9
131,7
132,1
133,7
134,1
135,2
136,9
137,5
138,3
139,6
140,3
141,3
142,2
143,4
144,4
145,2
146,8
147,5
148,2
149,1
150,7
151,9
152,1
153,4
154,9
155,8
156,3
157,3
158,4
159,7
160,5
161,6
162,2
163,6
164,5
165,8
166,4
167,9
168,4
169,3
170,8
171,5
172,6
173,7
174,2
175,8
176,9
177,1
